Engine Information/Transmission,Engine Information/Engine Type,Engine Information/Engine Statistics/Horsepower,Engine Information/Engine Statistics/Torque,Engine Information/Hybrid,Engine Information/Number of Forward Gears,Engine Information/Driveline,Identification/Make,Identification/Model Year,Identification/ID,Identification/Classification,Identification/Year,Dimensions/Width,Dimensions/Length,Dimensions/Height,Fuel Information/Highway mpg,Fuel Information/City mph,Fuel Information/Fuel Type
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XJ,2011 Jaguar XJ,Automatic transmission,2011,102,3,167,23,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XJ,2011 Jaguar XJL,Automatic transmission,2011,102,127,167,22,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 470 hp 424 ft-lbs S-Charged,470,424,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XJ,2011 Jaguar XJ Supercharged,Automatic transmission,2011,102,3,167,21,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 470 hp 424 ft-lbs S-Charged,470,424,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XJ,2011 Jaguar XJL Supercharged,Automatic transmission,2011,102,127,167,21,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XJ,2011 Jaguar XJ Supersport,Automatic transmission,2011,102,3,167,21,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XJ,2011 Jaguar XJL Supersport,Automatic transmission,2011,102,127,167,21,15,Gasoline
6 Speed Automatic Select Shift,Chevrolet 2.4L 4 Cylinder 169 hp 160 ft-lbs,169,160,FALSE,6,Front-wheel drive,Chevrolet,2012 Chevrolet Malibu,2012 Chevrolet Malibu 1LS,Automatic transmission,2012,249,7,170,33,22,Gasoline
6 Speed Automatic Select Shift,Chevrolet 2.4L 4 Cylinder 169 hp 160 ft-lbs,169,160,FALSE,6,Front-wheel drive,Chevrolet,2012 Chevrolet Malibu,2012 Chevrolet Malibu 1LT,Automatic transmission,2012,249,7,170,33,22,Gasoline
6 Speed Automatic Select Shift,Chevrolet 2.4L 4 Cylinder 169 hp 160 ft-lbs,169,160,FALSE,6,Front-wheel drive,Chevrolet,2012 Chevrolet Malibu,2012 Chevrolet Malibu 2LT,Automatic transmission,2012,249,7,170,33,22,Gasoline
6 Speed Automatic Select Shift,Chevrolet 3.6L 6 Cylinder 252 hp 251 ft-lbs,252,251,FALSE,6,Front-wheel drive,Chevrolet,2012 Chevrolet Malibu,2012 Chevrolet Malibu 3LT,Automatic transmission,2012,249,7,170,26,17,Gasoline
6 Speed Automatic Select Shift,Chevrolet 2.4L 4 Cylinder 169 hp 160 ft-lbs,169,160,FALSE,6,Front-wheel drive,Chevrolet,2012 Chevrolet Malibu,2012 Chevrolet Malibu 1LZ,Automatic transmission,2012,249,7,170,33,22,Gasoline
6 Speed Automatic Select Shift,Chevrolet 3.6L 6 Cylinder 252 hp 251 ft-lbs,252,251,FALSE,6,Front-wheel drive,Chevrolet,2012 Chevrolet Malibu,2012 Chevrolet Malibu 2LZ,Automatic transmission,2012,249,7,170,26,17,Gasoline
6 Speed Automatic,Chrysler 3.5L 6 cylinder 235 hp 232 ft-lbs,235,232,FALSE,6,Front-wheel drive,Chrysler,2010 Chrysler Sebring Sedan,2010 Chrysler Sebring Limited Sedan 3.5L,Automatic transmission,2010,16,233,218,27,16,Gasoline
6 Speed Manual,Mini 1.6L 4 Cylinder 121 hp 114 ft-lbs,121,114,FALSE,6,Front-wheel drive,MINI,2012 MINI Clubman,2012 MINI Cooper Clubman,Manual transmission,2012,148,119,144,35,27,Gasoline
6 Speed Automatic Select Shift,Mini 1.6L 4 Cylinder 121 hp 114 ft-lbs,121,114,FALSE,6,Front-wheel drive,MINI,2012 MINI Clubman,2012 MINI Cooper Clubman AT,Automatic transmission,2012,148,119,144,35,27,Gasoline
6 Speed Manual,Mini 1.6L 4 Cylinder 181 hp 177 ft-lbs Turbo,181,177,FALSE,6,Front-wheel drive,MINI,2012 MINI Clubman,2012 MINI Cooper S Clubman,Manual transmission,2012,148,119,152,35,27,Gasoline
6 Speed Automatic Select Shift,Mini 1.6L 4 Cylinder 181 hp 177 ft-lbs Turbo,181,177,FALSE,6,Front-wheel drive,MINI,2012 MINI Clubman,2012 MINI Cooper S Clubman AT,Automatic transmission,2012,148,119,152,34,26,Gasoline
6 Speed Manual,MINI 1.6L 4 Cylinder 208 hp 192 ft-lbs Turbo,208,192,FALSE,6,Front-wheel drive,MINI,2012 MINI Clubman,2012 MINI John Cooper Works Clubman,Manual transmission,2012,148,119,152,33,25,Gasoline
6 Speed Manual,Aston Martin 5.9L 12 Cylinder 510 hp 420 ft-lbs,510,420,FALSE,6,Rear-wheel drive,Aston Martin,2011 Aston Martin DBS Volante,2011 Aston Martin DBS Volante,Manual transmission,2011,113,112,9,17,11,Gasoline
6 Speed Automatic Select Shift,Aston Martin 5.9L 12 Cylinder 510 hp 420 ft-lbs,510,420,FALSE,6,Rear-wheel drive,Aston Martin,2011 Aston Martin DBS Volante,2011 Aston Martin DBS Volante AT,Automatic transmission,2011,113,112,9,18,12,Gasoline
6 Speed Manual,Mini 1.6L 4 Cylinder 121 hp 114 ft-lbs,121,114,FALSE,6,Front-wheel drive,MINI,2011 MINI Clubman,2011 MINI Cooper Clubman,Manual transmission,2011,148,119,144,35,28,Gasoline
6 Speed Automatic Select Shift,Mini 1.6L 4 Cylinder 121 hp 114 ft-lbs,121,114,FALSE,6,Front-wheel drive,MINI,2011 MINI Clubman,2011 MINI Cooper Clubman AT,Automatic transmission,2011,148,119,144,36,27,Gasoline
6 Speed Manual,Mini 1.6L 4 Cylinder 181 hp 177 ft-lbs Turbo,181,177,FALSE,6,Front-wheel drive,MINI,2011 MINI Clubman,2011 MINI Cooper S Clubman,Manual transmission,2011,148,119,152,35,27,Gasoline
6 Speed Automatic Select Shift,Mini 1.6L 4 Cylinder 181 hp 177 ft-lbs Turbo,181,177,FALSE,6,Front-wheel drive,MINI,2011 MINI Clubman,2011 MINI Cooper S Clubman AT,Automatic transmission,2011,148,119,152,34,26,Gasoline
6 Speed Manual,MINI 1.6L 4 Cylinder 208 hp 192 ft-lbs Turbo,208,192,FALSE,6,Front-wheel drive,MINI,2011 MINI Clubman,2011 MINI John Cooper Works Clubman,Manual transmission,2011,148,119,152,33,25,Gasoline
6 Speed Manual,MINI 1.6L 4 Cylinder 118 hp 114 ft-lbs,118,114,FALSE,6,Front-wheel drive,MINI,2010 MINI Clubman,2010 MINI Cooper Clubman,Manual transmission,2010,148,99,147,36,28,Gasoline
6 Speed Automatic Select Shift,MINI 1.6L 4 Cylinder 118 hp 114 ft-lbs,118,114,FALSE,6,Front-wheel drive,MINI,2010 MINI Clubman,2010 MINI Cooper Clubman AT,Automatic transmission,2010,148,99,147,33,25,Gasoline
6 Speed Manual,MINI 1.6L 4 Cylinder 172 hp 177 ft-lbs Turbo,172,177,FALSE,6,Front-wheel drive,MINI,2010 MINI Clubman,2010 MINI Cooper S Clubman,Manual transmission,2010,148,117,152,34,26,Gasoline
6 Speed Automatic Select Shift,MINI 1.6L 4 Cylinder 172 hp 177 ft-lbs Turbo,172,177,FALSE,6,Front-wheel drive,MINI,2010 MINI Clubman,2010 MINI Cooper S Clubman AT,Automatic transmission,2010,148,117,152,32,24,Gasoline
6 Speed Manual,MINI 1.6L 4 Cylinder 208 hp 192 ft-lbs Turbo,208,192,FALSE,6,Front-wheel drive,MINI,2010 MINI Clubman,2010 MINI John Cooper Works Clubman,Manual transmission,2010,148,117,152,33,25,Gasoline
6 Speed Automatic Select Shift,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,470,443,FALSE,6,Rear-wheel drive,Aston Martin,2011 Aston Martin Rapide,2011 Aston Martin Rapide,Automatic transmission,2011,137,155,80,19,13,Gasoline
6 Speed Automatic Select Shift,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,470,443,FALSE,6,Rear-wheel drive,Aston Martin,2011 Aston Martin Rapide,2011 Aston Martin Rapide Luxe,Automatic transmission,2011,137,155,80,19,13,Gasoline
4 Speed Automatic,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,173,166,FALSE,4,Front-wheel drive,Chrysler,2011 Chrysler 200 Sedan,2011 Chrysler 200 LX Sedan,Automatic transmission,2011,49,5,203,30,21,Gasoline
6 Speed Automatic,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,173,166,FALSE,6,Front-wheel drive,Chrysler,2011 Chrysler 200 Sedan,2011 Chrysler 200 Touring Sedan,Automatic transmission,2011,49,5,203,31,20,Gasoline
6 Speed Automatic,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,173,166,FALSE,6,Front-wheel drive,Chrysler,2011 Chrysler 200 Sedan,2011 Chrysler 200 Limited Sedan,Automatic transmission,2011,49,5,203,31,20,Gasoline
6 Speed Automatic,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,283,260,FALSE,6,Front-wheel drive,Chrysler,2011 Chrysler 200 Sedan,2011 Chrysler 200 S Sedan,Automatic transmission,2011,49,5,203,21,14,E85
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XK Convertible,2011 Jaguar XK Convertible,Automatic transmission,2011,100,184,48,22,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XK Convertible,2011 Jaguar XKR Convertible,Automatic transmission,2011,100,184,48,22,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XK Coup,2011 Jaguar XK Coup,Automatic transmission,2011,100,184,40,24,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XK Coup,2011 Jaguar XKR Coup,Automatic transmission,2011,100,184,40,22,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XK Coup,2011 Jaguar XKR175 75th Anniversary Limited Ed. Coup,Automatic transmission,2011,100,184,40,22,15,Gasoline
5 Speed Automatic Select Shift,Chrysler 3.6L 6 cylinder 292 hp 260 ft-lbs FFV,292,260,FALSE,5,Rear-wheel drive,Chrysler,2011 Chrysler 300,2011 Chrysler 300,Automatic transmission,2011,113,180,203,27,18,Gasoline
5 Speed Automatic Select Shift,Chrysler 3.6L 6 cylinder 292 hp 260 ft-lbs FFV,292,260,FALSE,5,Rear-wheel drive,Chrysler,2011 Chrysler 300,2011 Chrysler 300 Limited,Automatic transmission,2011,113,180,205,27,18,Gasoline
5 Speed Automatic Select Shift,Chrysler 5.7L 8 cylinder 363 hp 394 ft-lbs,363,394,FALSE,5,Rear-wheel drive,Chrysler,2011 Chrysler 300,2011 Chrysler 300C RWD,Automatic transmission,2011,113,180,205,25,16,Gasoline
5 Speed Automatic Select Shift,Chrysler 5.7L 8 cylinder 363 hp 394 ft-lbs,363,394,FALSE,5,All-wheel drive,Chrysler,2011 Chrysler 300,2011 Chrysler 300C AWD,Automatic transmission,2011,113,180,223,23,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2010 Jaguar XK Convertible,2010 Jaguar XK Convertible,Automatic transmission,2010,100,184,48,22,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2010 Jaguar XK Convertible,2010 Jaguar XKR Convertible,Automatic transmission,2010,100,184,48,22,15,Gasoline
4 Speed Automatic Select Shift,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,170,170,FALSE,4,All-wheel drive,Subaru,2010 Subaru Impreza Sedan,2010 Subaru Impreza Sedan 2.5i Premium AT,Automatic transmission,2011,203,227,195,26,20,Gasoline
5 Speed Manual,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,170,170,FALSE,5,All-wheel drive,Subaru,2010 Subaru Impreza Sedan,2010 Subaru Impreza Sedan 2.5i Premium,Manual transmission,2011,203,227,195,27,20,Gasoline
4 Speed Automatic Select Shift,Subaru 2.5L 4 cylinder 224 hp 226 ft-lbs Turbo,224,226,FALSE,4,All-wheel drive,Subaru,2010 Subaru Impreza Sedan,2010 Subaru Impreza Sedan 2.5GT,Automatic transmission,2010,203,227,195,24,19,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2010 Jaguar XK Coup,2010 Jaguar XKR Coup,Automatic transmission,2010,100,184,40,22,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2010 Jaguar XK Coup,2010 Jaguar XK Coup,Automatic transmission,2010,100,184,40,24,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XF,2011 Jaguar XF Premium,Automatic transmission,2011,85,96,180,23,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XF,2011 Jaguar XF,Automatic transmission,2011,85,96,180,23,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XF,2011 Jaguar XFR,Automatic transmission,2011,85,96,180,21,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 470 hp 424 ft-lbs S-Charged,470,424,FALSE,6,Rear-wheel drive,Jaguar,2011 Jaguar XF,2011 Jaguar XF Supercharged,Automatic transmission,2011,85,96,180,21,15,Gasoline
5 Speed Manual,Jeep 2.0L 4 Cylinder 158 hp 141 ft-lbs,158,141,FALSE,5,Front-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Sport 4x2,Manual transmission,2011,221,62,127,29,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Front-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Sport 2.4L 4x2,Manual transmission,2011,221,62,127,28,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Four-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Sport 4x4,Manual transmission,2011,221,62,160,28,22,Gasoline
5 Speed Manual,Jeep 2.0L 4 Cylinder 158 hp 141 ft-lbs,158,141,FALSE,5,Front-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Latitude 4x2,Manual transmission,2011,221,62,127,29,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Front-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Latitude 2.4L 4x2,Manual transmission,2011,221,62,127,28,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Four-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Latitude 4x4,Manual transmission,2011,221,62,160,28,22,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Front-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Latitude X 4x2,Manual transmission,2011,221,62,127,28,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Four-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Latitude X 4x4,Manual transmission,2011,221,62,160,28,22,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Front-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Latitude X 70th Anniversary 4x2,Manual transmission,2011,221,62,127,28,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Four-wheel drive,Jeep,2011 Jeep Patriot,2011 Jeep Patriot Latitude X 70th Anniversary 4x4,Manual transmission,2011,221,62,160,28,22,Gasoline
4 Speed Automatic,Chrysler 2.7L 6 cylinder 178 hp 190 ft-lbs,178,190,FALSE,4,Rear-wheel drive,Chrysler,2010 Chrysler 300,2010 Chrysler 300 Touring,Automatic transmission,2010,90,134,203,26,18,Gasoline
5 Speed Automatic,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,250,250,FALSE,5,All-wheel drive,Chrysler Group LLC,2010 Chrysler 300,2010 Chrysler 300 Touring AWD,Automatic transmission,2010,90,134,203,23,17,Gasoline
4 Speed Automatic,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,250,250,FALSE,4,Rear-wheel drive,Chrysler Group LLC,2010 Chrysler 300,2010 Chrysler 300 Touring Plus,Automatic transmission,2010,90,134,203,25,17,Gasoline
4 Speed Automatic,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,250,250,FALSE,4,Rear-wheel drive,Chrysler Group LLC,2010 Chrysler 300,2010 Chrysler 300 Limited,Automatic transmission,2010,90,134,203,25,17,Gasoline
5 Speed Automatic,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,250,250,FALSE,5,All-wheel drive,Chrysler Group LLC,2010 Chrysler 300,2010 Chrysler 300 Limited AWD,Automatic transmission,2010,90,134,203,23,17,Gasoline
5 Speed Automatic Select Shift,Chrysler 5.7L 8 cylinder 360 hp 389 ft-lbs,360,389,FALSE,5,Rear-wheel drive,Chrysler,2010 Chrysler 300,2010 Chrysler 300 C Hemi,Automatic transmission,2010,90,134,203,25,16,Gasoline
5 Speed Automatic Select Shift,Chrysler 5.7L 8 cylinder 360 hp 389 ft-lbs,360,389,FALSE,5,All-wheel drive,Chrysler,2010 Chrysler 300,2010 Chrysler 300 C AWD,Automatic transmission,2010,90,134,203,23,16,Gasoline
4 Speed Automatic,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,250,250,FALSE,4,Rear-wheel drive,Chrysler Group LLC,2010 Chrysler 300,2010 Chrysler 300 S V6,Automatic transmission,2010,90,134,203,25,17,Gasoline
5 Speed Automatic Select Shift,Chrysler 5.7L 8 cylinder 360 hp 389 ft-lbs,360,389,FALSE,5,Rear-wheel drive,Chrysler,2010 Chrysler 300,2010 Chrysler 300 S V8,Automatic transmission,2010,90,134,203,25,16,Gasoline
5 Speed Automatic Select Shift,Chrysler 6.1L 8 cylinder 425hp 420 ft-lbs,425,420,FALSE,5,Rear-wheel drive,Chrysler Group LLC,2010 Chrysler 300,2010 Chrysler 300 SRT8,Automatic transmission,2010,90,134,190,19,13,Gasoline
6 Speed Automatic Select Shift,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,283,260,FALSE,6,Front-wheel drive,Chrysler,2011 Chrysler Town and Country,2011 Chrysler Town and Country Touring,Automatic transmission,2011,206,31,188,25,17,E85
6 Speed Automatic Select Shift,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,283,260,FALSE,6,Front-wheel drive,Chrysler,2011 Chrysler Town and Country,2011 Chrysler Town and Country Touring-L,Automatic transmission,2011,206,31,188,25,17,E85
6 Speed Automatic Select Shift,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,283,260,FALSE,6,Front-wheel drive,Chrysler,2011 Chrysler Town and Country,2011 Chrysler Town and Country Limited,Automatic transmission,2011,206,31,188,25,17,E85
6 Speed Automatic Select Shift,Chrysler 3.8L 6 cylinder 197hp 230 ft-lbs,197,230,FALSE,6,Front-wheel drive,Chrysler,2010 Chrysler Town and Country,2010 Chrysler Town and Country LX,Automatic transmission,2010,161,23,214,23,16,Gasoline
6 Speed Automatic Select Shift,Chrysler 4.0L 6 cylinder 251hp 259 ft-lbs,251,259,FALSE,6,Front-wheel drive,Chrysler,2010 Chrysler Town and Country,2010 Chrysler Town and Country Limited,Automatic transmission,2010,161,23,214,25,17,Gasoline
6 Speed Automatic,Chrysler 3.8L 6 cylinder 197hp 230 ft-lbs,197,230,FALSE,6,Front-wheel drive,Chrysler,2010 Chrysler Town and Country,2010 Chrysler Town and Country Touring,Automatic transmission,2010,161,23,214,23,16,Gasoline
6 Speed Automatic Select Shift,Chrysler 3.8L 6 cylinder 197hp 230 ft-lbs,197,230,FALSE,6,Front-wheel drive,Chrysler,2010 Chrysler Town and Country,2010 Chrysler Town and Country Touring Plus,Automatic transmission,2010,161,23,214,23,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 4.2L 8 Cylinder 300 hp 310 ft-lbs,300,310,FALSE,6,Rear-wheel drive,Jaguar,2010 Jaguar XF,2010 Jaguar XF,Automatic transmission,2010,85,96,180,25,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 385 hp 380 ft-lbs,385,380,FALSE,6,Rear-wheel drive,Jaguar,2010 Jaguar XF,2010 Jaguar XF Premium,Automatic transmission,2010,85,96,180,23,16,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 470 hp 424 ft-lbs S-Charged,470,424,FALSE,6,Rear-wheel drive,Jaguar,2010 Jaguar XF,2010 Jaguar XF Supercharged,Automatic transmission,2010,85,96,180,21,15,Gasoline
6 Speed Automatic Select Shift,Jaguar 5.0L 8 Cylinder 510 hp 461 ft-lbs S-Charged,510,461,FALSE,6,Rear-wheel drive,Jaguar,2010 Jaguar XF,2010 Jaguar XFR,Automatic transmission,2010,85,96,180,21,15,Gasoline
5 Speed Manual,Jeep 2.0L 4 Cylinder 158 hp 141 ft-lbs,158,141,FALSE,5,Front-wheel drive,Jeep,2010 Jeep Patriot,2010 Jeep Patriot Sport,Manual transmission,2010,219,57,132,29,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Front-wheel drive,Jeep,2010 Jeep Patriot,2010 Jeep Patriot Sport 2.4L,Manual transmission,2010,219,57,132,28,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Four-wheel drive,Jeep,2010 Jeep Patriot,2010 Jeep Patriot Sport 4x4,Manual transmission,2010,219,57,132,28,23,Gasoline
5 Speed Manual,Jeep 2.0L 4 Cylinder 158 hp 141 ft-lbs,158,141,FALSE,5,Front-wheel drive,Jeep,2010 Jeep Patriot,2010 Jeep Patriot Sport Fleet,Manual transmission,2010,219,57,132,29,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Front-wheel drive,Jeep,2010 Jeep Patriot,2010 Jeep Patriot Sport Fleet 2.4L,Manual transmission,2010,219,57,132,28,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Four-wheel drive,Jeep,2010 Jeep Patriot,2010 Jeep Patriot Sport Fleet 4x4,Manual transmission,2010,219,57,132,28,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Front-wheel drive,Jeep,2010 Jeep Patriot,2010 Jeep Patriot Limited,Manual transmission,2010,219,57,132,28,23,Gasoline
5 Speed Manual,Jeep 2.4L 4 Cylinder 172 hp 165 ft-lbs,172,165,FALSE,5,Four-wheel drive,Jeep,2010 Jeep Patriot,2010 Jeep Patriot Limited 4x4,Manual transmission,2010,219,57,132,28,23,Gasoline
6 Speed Manual,Lotus 1.8L 4 Cylinder 189 hp 133 ft-lbs,189,133,FALSE,6,Rear-wheel drive,Lotus,2011 Lotus Elise,2011 Lotus Elise R,Manual transmission,2011,183,200,93,27,21,Gasoline
6 Speed Manual,Lotus 1.8L 4 Cylinder 217 hp 155 ft-lbs,217,155,FALSE,6,Rear-wheel drive,Lotus,2011 Lotus Elise,2011 Lotus Elise SC,Manual transmission,2011,183,200,93,26,20,Gasoline
6 Speed Manual,Lotus 1.8L 4 Cylinder 218 hp 156 ft-lbs S-charged,218,156,FALSE,6,Rear-wheel drive,Lotus,2010 Lotus Elise,2010 Lotus Elise SC,Manual transmission,2010,183,200,93,26,20,Gasoline
6 Speed Manual,Lotus 1.8L 4 Cylinder 189 hp 133 ft-lbs,189,133,FALSE,6,Rear-wheel drive,Lotus,2009 Lotus Elise,2009 Lotus Elise,Manual transmission,2009,183,200,93,27,21,Gasoline
6 Speed Manual,Lotus 1.8L 4 Cylinder 218 hp 156 ft-lbs S-charged,218,156,FALSE,6,Rear-wheel drive,Lotus,2009 Lotus Elise,2009 Lotus Elise SC,Manual transmission,2009,183,200,93,26,20,Gasoline
6 Speed Automatic Select Shift,Chevrolet 2.4L 4 Cylinder 169 hp 160 ft-lbs,169,160,FALSE,6,Front-wheel drive,Chevrolet,2011 Chevrolet Malibu,2011 Chevrolet Malibu LS,Automatic transmission,2011,249,7,170,33,22,Gasoline
6 Speed Automatic Select Shift,Chevrolet 2.4L 4 Cylinder 169 hp 160 ft-lbs,169,160,FALSE,6,Front-wheel drive,Chevrolet,2011 Chevrolet Malibu,2011 Chevrolet Malibu 1LT,Automatic transmission,2011,249,7,170,33,22,Gasoline
6 Speed Automatic Select Shift,Chevrolet 2.4L 4 Cylinder 169 hp 160 ft-lbs,169,160,FALSE,6,Front-wheel drive,Chevrolet,2011 Chevrolet Malibu,2011 Chevrolet Malibu 2LT,Automatic transmission,2011,249,7,170,33,22,Gasoline
6 Speed Automatic Select Shift,Chevrolet 3.6L 6 Cylinder 252 hp 251 ft-lbs,252,251,FALSE,6,Front-wheel drive,Chevrolet,2011 Chevrolet Malibu,2011 Chevrolet Malibu 2LT V6,Automatic transmission,2011,249,7,170,26,17,Gasoline
6 Speed Automatic Select Shift,Chevrolet 2.4L 4 Cylinder 169 hp 160 ft-lbs,169,160,FALSE,6,Front-wheel drive,Chevrolet,2011 Chevrolet Malibu,2011 Chevrolet Malibu LTZ,Automatic transmission,2011,249,7,170,33,22,Gasoline
6 Speed Automatic Select Shift,Chevrolet 3.6L 6 Cylinder 252 hp 251 ft-lbs,252,251,FALSE,6,Front-wheel drive,Chevrolet,2011 Chevrolet Malibu,2011 Chevrolet Malibu LTZ V6,Automatic transmission,2011,249,7,170,26,17,Gasoline
6 Speed Manual,Lotus 3.5L 6 Cylinder 276 hp 258 ft-lbs,276,258,FALSE,6,Rear-wheel drive,Lotus,2011 Lotus Evora,2011 Lotus Evora,Manual transmission,2011,57,244,197,27,17,Gasoline
